II(+):1-2018	XII(+):204-2215
II(+):144228-145732	X(-):620750-622256
II(+):186984-190356	IX(-):12652-16010
II(+):186984-190356	X(-):12635-15993
II(+):2026-5850	XII(+):7326-11200
II(+):300165-301260	IV(+):471852-472948
II(+):373901-375420	IV(+):548802-550321
II(+):412122-413572	VII(+):906930-908365
II(+):427656-429115	II(+):429504-430965
II(+):429496-430989	VIII(-):552059-553558
II(+):477671-479048	XVI(+):700594-701971
II(+):574690-575996	XVI(+):350969-352275
II(+):5889-8529	XII(+):11393-14008
II(+):658738-662234	VII(-):385208-388704
II(+):800522-801880	VII(+):1070292-1071665
II(+):804880-813096	VII(+):1076129-1084340
II(+):84882-86449	XII(+):95922-97486
IV(+):471852-472948	II(+):300165-301260
IV(+):548802-550321	II(+):373901-375420
IX(+):437476-439015	II(+):810776-812328
VI(+):28250-29508	II(+):800541-801808
VII(+):1077427-1080204	II(+):806179-808955
VII(+):385208-388704	II(-):658738-662234
VII(+):906930-908365	II(+):412122-413572
X(+):620750-622256	II(-):144228-145732
XVI(+):350969-352275	II(+):574690-575996
XVI(+):700594-701971	II(+):477671-479048
