Crystal Method,Vegas,1997,Trip Like I Do,1
,,,Busy Child,2
,,,Cherry Twist,3
,,,High Roller,4
,,,Comin' Back,5
,,,Keep Hope Alive,6
,,,Vapor Trail,7
,,,She's My Pusher,8
,,,Jaded,9
,,,Bad Stone,10
Crystal Method,Tweekend,2001,PHD,1
,,,"Wild, Sweet And Cool",2
,,,Roll It Up,3
,,,Murder,4
,,,Name of the Game,5
,,,The Winner,6
,,,Ready For Action,7
,,,Ten Miles Back,8
,,,Over The Line,9
,,,Blowout,10
,,,Tough Guy / Name of the Game,11
Crystal Method,Legion Of Boom,2004,Starting Over,1
,,,Born Too Slow,2
,,,True Grit,3
,,,The American Way,4
,,,I Know It's You,5
,,,Realizer,6
,,,Broken Glass,7
,,,Weapons Of Mass Distortion,8
,,,Bound Too Long,9
,,,Acetone,10
,,,High And Low,11
,,,Wide Open,12
Royksopp,Melody A.M.,2002,So Easy,1
,,,Eple,2
,,,Sparks,3
,,,In Space,4
,,,Poor Leno,5
,,,A Higher Place,6
,,,Royksopp's Night Out,7
,,,Remind Me,8
,,,She's So,9
,,,40 Years Back / Come,10
Stereolab,Dots And Loops,1997,Brakhage,1
,,,Miss Modular,2
,,,The Flower Called Nowhere,3
,,,Diagonals,4
,,,Prisoner of Mars,5
,,,Rainbo Conversation,6
,,,Refractions In The Plastic Pulse,7
,,,Parsec,8
,,,Ticker-Tape Of The Unconscious,9
,,,Contronatura,10
Spacetime Continuum,Double Fine Zone,1999,The Ring,1
,,,Microjam,2
,,,Freezone,3
,,,Biscuit Face,4
,,,Beveled Egde,5
,,,Compound,6
,,,Spin Out,7
,,,One At A Day,8
,,,Manaka,9
,,,Different Bend,10
,,,Further Down The Road,11
Spacetime Continuum,Sea Biscuit,1994,Pressure,1
,,,Subway,2
,,,Ping Pong,3
,,,Voices Of The Earth,4
,,,Floatilla,5
,,,Q11,6
,,,Low Frequency Inversion Field,7
