name	is_paper	abbr	seed
杭州日报	1	hzrb	http://hzdaily.hangzhou.com.cn/hzrb/paperindex.htm
都市快报	1	dskb	http://hzdaily.hangzhou.com.cn/dskb/paperindex.htm
每日商报	1	mrsb	http://hzdaily.hangzhou.com.cn/mrsb/paperindex.htm
浙江日报	1	zjrb	http://zjrb.zjol.com.cn
钱江晚报	1	qjwb	http://qjwb.zjol.com.cn/
今日早报	1	jrzb	http://jrzb.zjol.com.cn/
浙江法制报	1	zjfzb	http://zjfzb.zjol.com.cn/
青年时报	1	qnsb	http://www.qnsb.com/fzepaper/site1/qnsb/paperindex.htm
杭州新闻	1	hznews	http://hznews.hangzhou.com.cn/kejiao/index.htm
浙江省食药	0	zjfda	http://www.zjfda.gov.cn/news/worknews/province.html
国家食药	0	sfda	http://www.sfda.gov.cn/WS01/CL0004/
